FileName	Image dimension	Resolution	DWI count	Max b-value	B-table matched	Neighboring DWI correlation	# Bad Slices
93051	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.790143	0	
93274	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.802231	2	
93278	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.802832	2	
93292	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.780851	1	
93406	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.742469	0	
93517	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.792546	0	
93549	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.762152	0	
93787	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.813466	0	
93856	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.81217	0	
94276	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.809773	0	
94848	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.803625	0	
95015	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.78922	0	
95057	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.775299	0	
95116	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.793041	8	
95460	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.762788	2	
96659	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.807537	0	
97092	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.837987	0	
97271	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.814379	0	
97485	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.734869	0	
97994	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.778507	0	
98314	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.796719	0	
98567	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.787805	0	
98871	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.809596	0	
99352	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.785684	0	
99604	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.766603	2	
99949	140 140 92 	1.5 1.5 1.5 	118	2010	Yes	0.668272	32	
